Hjemmebane,Udebane,Køretid,Afstand
Padel Club Sønderborg,Padel Club Sønderborg,0.0,0.0
Padel Club Sønderborg,Padel Club Sønderborg,0.0,0.0
Padel Club Sønderborg,8660 Padel,1.8394166666666665,172.6898
8660 Padel,Padel Club Sønderborg,1.8394166666666665,172.6898
Padel Club Sønderborg,Padel Professor Club,1.9689166666666664,186.8305
Padel Professor Club,Padel Club Sønderborg,1.9689166666666664,186.8305
Padel Club Sønderborg,8680 Padel,1.929333333333333,179.02429999999998
8680 Padel,Padel Club Sønderborg,1.929333333333333,179.02429999999998
Padel Club Sønderborg,PadelPadel Aalborg - AL Bank Arena,3.002666666666667,292.2465
PadelPadel Aalborg - AL Bank Arena,Padel Club Sønderborg,3.002666666666667,292.2465
Padel Club Sønderborg,PadelPadel Århus - LUNAR Arena,2.0891666666666664,197.5348
PadelPadel Århus - LUNAR Arena,Padel Club Sønderborg,2.0891666666666664,197.5348
Padel Club Sønderborg,Aarhus Padel Forening,2.0891666666666664,197.5348
Aarhus Padel Forening,Padel Club Sønderborg,2.0891666666666664,197.5348
Padel Club Sønderborg,Tønder PadelClub,1.018333333333333,70.687
Tønder PadelClub,Padel Club Sønderborg,1.018333333333333,70.687
Padel Club Sønderborg,PadelHouse,2.1894166666666663,191.0192
PadelHouse,Padel Club Sønderborg,2.1894166666666663,191.0192
Padel Club Sønderborg,X3 Padel,2.0049444444444444,187.3557
X3 Padel,Padel Club Sønderborg,2.0049444444444444,187.3557
Padel Club Sønderborg,Rocket Padel - Esbjerg,1.7669444444444444,164.3458
Rocket Padel - Esbjerg,Padel Club Sønderborg,1.7669444444444444,164.3458
Padel Club Sønderborg,Varde Padel,1.7518888888888888,163.43439999999998
Varde Padel,Padel Club Sønderborg,1.7518888888888888,163.43439999999998
Padel Club Sønderborg,Padel.dk,1.8435,163.9437
Padel.dk,Padel Club Sønderborg,1.8435,163.9437
Padel Club Sønderborg,Erritsø Idrætscenter,1.27425,117.5591
Erritsø Idrætscenter,Padel Club Sønderborg,1.27425,117.5591
Padel Club Sønderborg,Match Padel Ballerup,3.4434166666666663,322.2985
Match Padel Ballerup,Padel Club Sønderborg,3.4434166666666663,322.2985
Padel Club Sønderborg,Padel 7500,2.46875,233.6584
Padel 7500,Padel Club Sønderborg,2.46875,233.6584
Padel Club Sønderborg,MiMo Padel - Billund,1.6614166666666668,138.4625
MiMo Padel - Billund,Padel Club Sønderborg,1.6614166666666668,138.4625
Padel Club Sønderborg,Padel Bredebro,1.1080277777777778,76.7526
Padel Bredebro,Padel Club Sønderborg,1.1080277777777778,76.7526
Padel Club Sønderborg,Padel Nord,3.4079166666666665,330.7456
Padel Nord,Padel Club Sønderborg,3.4079166666666665,330.7456
Padel Club Sønderborg,Brønderslev Padel Forening,3.4079166666666665,330.7456
Brønderslev Padel Forening,Padel Club Sønderborg,3.4079166666666665,330.7456
Padel Club Sønderborg,Bjerringbro Padel,2.661111111111111,220.7243
Bjerringbro Padel,Padel Club Sønderborg,2.661111111111111,220.7243
Padel Club Sønderborg,Racket Club Taastrup - Arla Protein Stadion,3.369611111111112,315.9854
Racket Club Taastrup - Arla Protein Stadion,Padel Club Sønderborg,3.369611111111112,315.9854
Padel Club Sønderborg,Padel Lounge Aalborg,3.102388888888889,301.9511
Padel Lounge Aalborg,Padel Club Sønderborg,3.102388888888889,301.9511
Padel Club Sønderborg,Padel4life,1.9141388888888888,173.8498
Padel4life,Padel Club Sønderborg,1.9141388888888888,173.8498
Padel Club Sønderborg,Padel Yard Jernbanebyen,3.5403333333333338,323.2158
Padel Yard Jernbanebyen,Padel Club Sønderborg,3.5403333333333338,323.2158
Padel Club Sønderborg,Vejle Padelcenter,1.3857222222222223,128.11180000000002
Vejle Padelcenter,Padel Club Sønderborg,1.3857222222222223,128.11180000000002
Padel Club Sønderborg,Rocket Padel Viborg - Overlund,2.7367222222222223,217.719
Rocket Padel Viborg - Overlund,Padel Club Sønderborg,2.7367222222222223,217.719
Padel Club Sønderborg,PadelWorld Ikast,2.11025,204.0577
PadelWorld Ikast,Padel Club Sønderborg,2.11025,204.0577
